iter	Passed	Remaining
0	229	22739
1	316	15492
2	409	13251
3	503	12079
4	589	11198
5	677	10618
6	759	10087
7	850	9786
8	968	9789
9	1077	9694
10	1206	9765
11	1322	9700
12	1435	9608
13	1551	9533
14	1659	9403
15	1777	9333
16	1903	9293
17	2070	9432
18	2251	9599
19	2360	9441
20	2464	9271
21	2559	9075
22	2655	8890
23	2754	8721
24	2858	8576
25	3023	8606
26	3156	8534
27	3252	8364
28	3356	8218
29	3454	8059
30	3544	7889
31	3639	7734
32	3726	7566
33	3823	7422
34	3932	7303
35	4047	7195
36	4141	7051
37	4236	6912
38	4342	6791
39	4441	6661
40	4526	6514
41	4611	6367
42	4703	6235
43	4791	6098
44	4876	5959
45	4965	5829
46	5099	5750
47	5223	5658
48	5346	5564
49	5440	5440
50	5528	5311
51	5615	5183
52	5706	5060
53	5802	4943
54	5898	4826
55	5993	4708
56	6085	4590
57	6180	4475
58	6266	4354
59	6361	4241
60	6461	4131
61	6554	4017
62	6640	3900
63	6726	3783
64	6807	3665
65	6890	3549
66	6974	3435
67	7056	3320
68	7141	3208
69	7230	3098
70	7320	2990
71	7404	2879
72	7486	2769
73	7570	2659
74	7658	2552
75	7750	2447
76	7835	2340
77	7915	2232
78	8004	2127
79	8095	2023
80	8181	1919
81	8266	1814
82	8353	1710
83	8438	1607
84	8523	1504
85	8612	1402
86	8699	1299
87	8785	1198
88	8873	1096
89	8959	995
90	9040	894
91	9124	793
92	9214	693
93	9306	594
94	9391	494
95	9476	394
96	9560	295
97	9655	197
98	9743	98
99	9855	0
